dgp,error_distribution,running_variable,setup,p1,n,true_treatment_effect,median_bias_iv_ccf,median_bias_iv_ik,median_bias_lambda_1_ccf,median_bias_lambda_1_ik,median_bias_lambda_4_ccf,median_bias_lambda_4_ik,mad_iv_ccf,mad_iv_ik,mad_lambda_1_ccf,mad_lambda_1_ik,mad_lambda_4_ccf,mad_lambda_4_ik,rmse_iv_ccf,rmse_iv_ik,rmse_lambda_1_ccf,rmse_lambda_1_ik,rmse_lambda_4_ccf,rmse_lambda_4_ik,cov_iv_ccf,cov_iv_ik,cov_lambda_1_ccf,cov_lambda_1_ik,cov_lambda_4_ccf,cov_lambda_4_ik,cov_ar_ba_1,cov_ar_ba_2
1,1,1,1,0.6,300,0.04,0.085240411,0.121258749,0.012770149,0.039783419,-0.013558779,-0.004105557,0.503768598,0.485642254,0.165191901,0.168051048,0.088568261,0.086673919,89.22228609,125.9596809,0.268604063,0.275801496,0.138630967,0.136942755,0.9822,0.9839,0.9846,0.988,0.9383,0.9478,0.9811,0.9615
1,1,1,1,0.7,300,0.04,0.087246468,0.117716169,0.060041812,0.083653925,0.016065824,0.034707724,0.322493073,0.286940546,0.173691352,0.173670742,0.102674648,0.105007298,16.52116829,43.82971294,0.279384098,0.280822805,0.158784647,0.160643964,0.9703,0.9703,0.9897,0.9897,0.9526,0.9567,0.9822,0.9633
1,1,1,1,0.8,300,0.04,0.075164237,0.090325849,0.069870995,0.083476649,0.039701153,0.053555593,0.216398989,0.190530467,0.162332117,0.153511398,0.117710556,0.114843794,12.73647057,36.0225644,0.258837443,0.245484832,0.176692196,0.174022577,0.948994899,0.9489,0.9843,0.9772,0.9659,0.9615,0.9823,0.965
1,1,1,1,0.9,300,0.04,0.044088017,0.052912626,0.050923958,0.057089247,0.040625384,0.049139292,0.158435024,0.136936055,0.13755618,0.123285339,0.119220482,0.111524719,60.1147546,0.750048188,0.220763211,0.194889886,0.185508866,0.169965607,0.9275,0.9273,0.9682,0.9606,0.9626,0.9577,0.982,0.9627
1,1,1,2,0.6,300,0.04,0.087785222,0.139513634,0.019933796,0.048580263,-0.008164045,0.004156177,0.499626933,0.484259747,0.173645607,0.182378865,0.093681451,0.093697547,143.3954157,41.39423574,0.283720098,0.299428914,0.147197107,0.150529772,0.9818,0.9822,0.9846,0.9839,0.9336,0.9383,0.9791,0.9611
1,1,1,2,0.7,300,0.04,0.104417101,0.129374357,0.068582059,0.093388896,0.022712046,0.040044813,0.321558039,0.282828716,0.178212454,0.180617325,0.107012646,0.109740261,35.9502373,10.71887738,0.287405318,0.289416303,0.166829664,0.171560525,0.9701,0.9696,0.9863,0.9857,0.9505,0.9554,0.9831,0.9634
1,1,1,2,0.8,300,0.04,0.074320515,0.083766925,0.071547991,0.081845324,0.041808605,0.054029172,0.216069318,0.188868029,0.166015164,0.15374299,0.122423999,0.119540997,79.84564586,6.228112251,0.265011206,0.248404164,0.185215913,0.181196166,0.9461,0.9448,0.9817,0.975,0.9631,0.9624,0.9797,0.959
1,1,1,2,0.9,300,0.04,0.042335646,0.052283341,0.052882455,0.057017628,0.04214448,0.049062716,0.156766254,0.136320941,0.138019061,0.119404085,0.1236351,0.109536732,4.023865425,1.283381031,0.223522849,0.193047812,0.187413848,0.169661875,0.9248,0.9251,0.9697,0.9583,0.9661,0.956,0.9791,0.9615
1,1,1,3,0.6,300,0.04,0.072184201,0.115974356,0.017864655,0.038968332,-0.009854796,-0.00136214,0.515303375,0.496029446,0.170056788,0.173150991,0.090332389,0.089061262,837.0277171,76.47704464,0.277681104,0.286936744,0.142976403,0.14224467,0.9831,0.983,0.9844,0.9855,0.9313,0.9344,0.977,0.9568
1,1,1,3,0.7,300,0.04,0.095762939,0.121146452,0.064253303,0.086388588,0.020117722,0.035697582,0.321242027,0.28458566,0.173231084,0.172515408,0.103063948,0.104676741,18.55607567,375.3325036,0.275521451,0.277306729,0.157531978,0.15988918,0.9675,0.9664,0.989,0.9886,0.9536,0.9573,0.9815,0.9622
1,1,1,3,0.8,300,0.04,0.073974154,0.088727349,0.073824042,0.083908036,0.042727117,0.055638817,0.220630035,0.191183746,0.166226582,0.155099207,0.120129869,0.118123419,17.78749736,3.022797636,0.263748797,0.246825687,0.179958023,0.175233489,0.9489,0.9473,0.9833,0.9795,0.9661,0.9655,0.9832,0.9642
1,1,1,3,0.9,300,0.04,0.045807714,0.053389526,0.051492109,0.056045277,0.040529807,0.04746622,0.158635558,0.136610801,0.136336479,0.120002356,0.120343772,0.108835641,3.595660228,0.473681495,0.220060658,0.191821942,0.185133079,0.167411008,0.9232,0.9238,0.9695,0.9637,0.9639,0.9612,0.9785,0.9593
1,1,1,1,0.6,600,0.04,0.14016775,0.197900992,0.057448057,0.104620158,0.006709478,0.030135535,0.470838015,0.44839854,0.174385073,0.1925433,0.086691736,0.092107268,33.85247858,10.43786657,0.284355326,0.302733332,0.139482226,0.146278785,0.9838,0.9863,0.9887,0.9882,0.9439,0.9462,0.9682,0.9585
1,1,1,1,0.7,600,0.04,0.111533191,0.138182469,0.093537381,0.123296548,0.044228603,0.072534955,0.246445012,0.217819161,0.165965548,0.168460239,0.104017416,0.110895964,52.17231853,14.68849882,0.263735702,0.265877393,0.158785371,0.166516062,0.9657,0.9659,0.9873,0.98,0.9617,0.9552,0.9667,0.9557
